order_id,order_date,customer_age,gender,country,product_category,quantity,unit_price,discount,payment_method,total_price,is_returned
106,2022-01-05 09:00:00,23,Male,UK,Electronics,7,369.14,0.31,Net Banking,1782.95,0
107,2022-01-05 10:00:00,59,Male,Canada,Clothing,1,253.55,0.16,Credit Card,212.98,0
108,2022-01-05 11:00:00,53,Female,Germany,Clothing,9,266.4,0.15,Debit Card,2037.96,0
109,2022-01-05 12:00:00,18,Male,India,Books,4,110.03,0.42,Credit Card,255.27,0
110,2022-01-05 13:00:00,49,Female,Canada,Food,2,361.5,0.15,UPI,614.55,0
111,2022-01-05 14:00:00,23,Male,Germany,Books,2,350.75,0.43,Net Banking,399.86,1
112,2022-01-05 15:00:00,48,Female,Germany,Books,6,122.84,0.38,Net Banking,456.96,1
113,2022-01-05 16:00:00,18,Male,India,Books,1,389.4,0.43,Net Banking,221.96,0
114,2022-01-05 17:00:00,67,Female,Canada,Furniture,6,403.41,0.32,UPI,1645.91,0
115,2022-01-05 18:00:00,68,Female,UK,Furniture,8,203.34,0.2,Credit Card,1301.38,0
116,2022-01-05 19:00:00,54,Female,USA,Electronics,4,336.09,0.49,Debit Card,685.62,0
117,2022-01-05 20:00:00,52,Male,Canada,Books,6,344.59,0.31,UPI,1426.6,0
118,2022-01-05 21:00:00,66,Male,Germany,Electronics,4,97.66,0.33,Cash,261.73,0
119,2022-01-05 22:00:00,47,Female,UK,Electronics,8,348.69,0.11,Cash,2482.67,0
120,2022-01-05 23:00:00,21,Female,USA,Clothing,9,124.33,0.1,UPI,1007.07,0
121,2022-01-06 00:00:00,52,Female,Canada,Electronics,2,164.89,0.37,Net Banking,207.76,0
122,2022-01-06 01:00:00,60,Male,USA,Books,5,225.71,0.4,Net Banking,677.13,0
123,2022-01-06 02:00:00,31,Male,Canada,Furniture,6,24.81,0.31,Net Banking,102.71,1
124,2022-01-06 03:00:00,66,Male,Canada,Books,1,449.43,0.2,Net Banking,359.54,1
125,2022-01-06 04:00:00,57,Female,Germany,Books,5,122.9,0.04,Debit Card,589.92,1
126,2022-01-06 05:00:00,39,Male,Canada,Furniture,7,381.8,0.12,Cash,2351.89,0
127,2022-01-06 06:00:00,27,Male,UK,Food,1,36.4,0.22,Credit Card,28.39,0
128,2022-01-06 07:00:00,18,Female,UK,Electronics,1,340.17,0.21,Net Banking,268.73,0
129,2022-01-06 08:00:00,28,Male,Canada,Books,3,195.96,0.16,UPI,493.82,1
130,2022-01-06 09:00:00,68,Male,India,Clothing,6,302.52,0.45,Net Banking,998.32,0
131,2022-01-06 10:00:00,61,Female,Canada,Furniture,4,214.22,0.07,Net Banking,796.9,0
132,2022-01-06 11:00:00,41,Female,UK,Books,2,146.66,0.34,Credit Card,193.59,0
133,2022-01-06 12:00:00,20,Male,Germany,Furniture,7,92.94,0.31,Cash,448.9,0
134,2022-01-06 13:00:00,52,Female,Canada,Clothing,5,226.67,0.39,Credit Card,691.34,0
135,2022-01-06 14:00:00,53,Female,Germany,Electronics,1,370.47,0.23,Cash,285.26,0
136,2022-01-06 15:00:00,48,Male,USA,Books,8,274.49,0.44,UPI,1229.72,1
137,2022-01-06 16:00:00,21,Male,India,Electronics,7,420.66,0.45,Debit Card,1619.54,0
138,2022-01-06 17:00:00,36,Male,USA,Books,2,453.48,0.28,Cash,653.01,0
139,2022-01-06 18:00:00,64,Female,Canada,Food,1,439.74,0.23,Credit Card,338.6,0
140,2022-01-06 19:00:00,53,Female,Canada,Electronics,9,174.24,0.23,Credit Card,1207.48,0
141,2022-01-06 20:00:00,38,Female,Canada,Books,3,356.16,0.36,Debit Card,683.83,0
142,2022-01-06 21:00:00,35,Female,USA,Electronics,2,234.63,0.4,Cash,281.56,0
143,2022-01-06 22:00:00,68,Male,USA,Electronics,8,109.61,0.39,Cash,534.9,0
144,2022-01-06 23:00:00,45,Female,Germany,Electronics,5,229.76,0.39,Cash,700.77,0
145,2022-01-07 00:00:00,32,Female,USA,Furniture,9,492.35,0.03,Credit Card,4298.22,1
146,2022-01-07 01:00:00,59,Female,Germany,Food,5,124.45,0.02,Debit Card,609.8,0
147,2022-01-07 02:00:00,19,Female,India,Electronics,1,384.23,0.01,Credit Card,380.39,1
148,2022-01-07 03:00:00,54,Male,Germany,Electronics,1,475.15,0.25,Net Banking,356.36,0
149,2022-01-07 04:00:00,28,Female,USA,Clothing,1,201.1,0.17,Cash,166.91,0
150,2022-01-07 05:00:00,40,Male,India,Food,2,449.0,0.1,Credit Card,808.2,0
151,2022-01-07 06:00:00,61,Female,India,Furniture,2,320.5,0.03,Credit Card,621.77,0
152,2022-01-07 07:00:00,58,Female,Canada,Electronics,1,462.21,0.27,Cash,337.41,0
153,2022-01-07 08:00:00,29,Male,UK,Furniture,5,358.74,0.29,Cash,1273.53,0
154,2022-01-07 09:00:00,20,Female,Germany,Books,3,134.7,0.26,Net Banking,299.03,0
155,2022-01-07 10:00:00,69,Female,USA,Furniture,2,197.49,0.11,Net Banking,351.53,0
156,2022-01-07 11:00:00,34,Female,USA,Electronics,6,147.62,0.23,Debit Card,682.0,0
157,2022-01-07 12:00:00,50,Male,USA,Electronics,7,460.41,0.05,Cash,3061.73,0
158,2022-01-07 13:00:00,18,Female,USA,Electronics,9,230.12,0.09,UPI,1884.68,0
159,2022-01-07 14:00:00,56,Female,USA,Electronics,5,182.42,0.14,Debit Card,784.41,0
160,2022-01-07 15:00:00,37,Male,USA,Food,1,49.31,0.25,Net Banking,36.98,1
161,2022-01-07 16:00:00,64,Female,Germany,Electronics,7,80.21,0.38,Debit Card,348.11,0
162,2022-01-07 17:00:00,60,Female,USA,Clothing,6,300.65,0.48,Cash,938.03,0
163,2022-01-07 18:00:00,69,Female,UK,Electronics,2,144.8,0.29,Cash,205.62,0
164,2022-01-07 19:00:00,58,Female,UK,Food,9,317.06,0.23,Credit Card,2197.23,0
165,2022-01-07 20:00:00,31,Male,USA,Food,9,28.55,0.37,Credit Card,161.88,0
166,2022-01-07 21:00:00,48,Male,Canada,Books,7,298.67,0.43,Net Banking,1191.69,0
167,2022-01-07 22:00:00,42,Female,Canada,Books,4,168.66,0.14,Net Banking,580.19,0
168,2022-01-07 23:00:00,20,Male,UK,Books,5,45.06,0.06,Cash,211.78,0
169,2022-01-08 00:00:00,21,Female,Canada,Food,6,332.5,0.35,Credit Card,1296.75,1
170,2022-01-08 01:00:00,48,Male,UK,Food,6,472.69,0.47,Cash,1503.15,0
171,2022-01-08 02:00:00,52,Female,Canada,Furniture,6,491.62,0.07,Net Banking,2743.24,0
172,2022-01-08 03:00:00,61,Male,USA,Furniture,3,205.14,0.44,Debit Card,344.64,0
173,2022-01-08 04:00:00,31,Female,Canada,Electronics,6,425.97,0.02,Debit Card,2504.7,0
174,2022-01-08 05:00:00,66,Male,Canada,Furniture,7,415.8,0.14,Net Banking,2503.12,1
175,2022-01-08 06:00:00,58,Male,Germany,Electronics,8,329.07,0.03,Net Banking,2553.58,1
176,2022-01-08 07:00:00,26,Female,Germany,Books,1,123.18,0.01,Debit Card,121.95,0
177,2022-01-08 08:00:00,37,Female,Canada,Furniture,9,386.36,0.26,Debit Card,2573.16,0
178,2022-01-08 09:00:00,49,Female,India,Food,8,137.65,0.09,Debit Card,1002.09,0
179,2022-01-08 10:00:00,26,Female,USA,Clothing,6,494.85,0.28,UPI,2137.75,0
180,2022-01-08 11:00:00,44,Male,UK,Books,9,330.89,0.16,Cash,2501.53,0
181,2022-01-08 12:00:00,20,Female,Germany,Furniture,9,430.71,0.3,UPI,2713.47,1
182,2022-01-08 13:00:00,21,Male,India,Electronics,2,106.88,0.45,UPI,117.57,0
183,2022-01-08 14:00:00,62,Female,India,Books,4,235.51,0.07,Net Banking,876.1,0
184,2022-01-08 15:00:00,32,Male,Canada,Electronics,1,60.97,0.32,Debit Card,41.46,0
185,2022-01-08 16:00:00,50,Female,UK,Books,3,243.17,0.06,Credit Card,685.74,0
186,2022-01-08 17:00:00,22,Female,India,Electronics,5,351.32,0.38,UPI,1089.09,0
187,2022-01-08 18:00:00,21,Male,Germany,Clothing,8,258.95,0.38,Credit Card,1284.39,0
188,2022-01-08 19:00:00,63,Male,Canada,Furniture,7,46.15,0.13,Debit Card,281.05,0
189,2022-01-08 20:00:00,29,Male,UK,Books,1,22.91,0.37,Net Banking,14.43,0
190,2022-01-08 21:00:00,40,Female,India,Food,3,57.54,0.34,UPI,113.93,0
191,2022-01-08 22:00:00,31,Male,UK,Clothing,9,245.89,0.02,UPI,2168.75,0
192,2022-01-08 23:00:00,63,Male,USA,Clothing,3,378.71,0.03,Cash,1102.05,0
193,2022-01-09 00:00:00,29,Female,Canada,Electronics,4,56.43,0.15,UPI,191.86,0
194,2022-01-09 01:00:00,34,Female,India,Food,5,143.72,0.45,Cash,395.23,0
195,2022-01-09 02:00:00,42,Male,India,Food,4,139.96,0.2,UPI,447.87,0
196,2022-01-09 03:00:00,47,Male,India,Clothing,4,286.8,0.31,Net Banking,791.57,0
197,2022-01-09 04:00:00,39,Male,USA,Food,7,435.95,0.05,Debit Card,2899.07,0
198,2022-01-09 05:00:00,64,Female,Canada,Electronics,6,87.15,0.02,Net Banking,512.44,0
199,2022-01-09 06:00:00,43,Male,Canada,Food,7,213.24,0.35,UPI,970.24,1
200,2022-01-09 07:00:00,34,Female,Germany,Food,9,398.5,0.22,Debit Card,2797.47,0
201,2022-01-09 08:00:00,37,Male,Germany,Furniture,1,350.67,0.02,Debit Card,343.66,0
202,2022-01-09 09:00:00,51,Female,Canada,Books,1,363.04,0.01,UPI,359.41,0
203,2022-01-09 10:00:00,58,Female,UK,Electronics,5,295.7,0.39,Net Banking,901.88,0
204,2022-01-09 11:00:00,50,Male,Canada,Books,7,262.54,0.33,Cash,1231.31,1
205,2022-01-09 12:00:00,54,Male,Germany,Clothing,9,228.32,0.05,Debit Card,1952.14,0
206,2022-01-09 13:00:00,24,Male,India,Books,3,183.74,0.37,Credit Card,347.27,0
207,2022-01-09 14:00:00,39,Male,Germany,Books,1,340.84,0.5,UPI,170.42,0
208,2022-01-09 15:00:00,49,Female,Canada,Clothing,7,176.85,0.37,Net Banking,779.91,0
209,2022-01-09 16:00:00,31,Female,USA,Furniture,7,120.66,0.19,UPI,684.14,0
210,2022-01-09 17:00:00,25,Male,UK,Clothing,2,314.46,0.31,Cash,433.95,0
211,2022-01-09 18:00:00,42,Female,USA,Electronics,3,357.71,0.46,Credit Card,579.49,0
212,2022-01-09 19:00:00,33,Female,UK,Food,8,55.4,0.34,Cash,292.51,0
213,2022-01-09 20:00:00,59,Female,USA,Clothing,7,42.3,0.33,UPI,198.39,0
214,2022-01-09 21:00:00,36,Female,Germany,Books,2,312.16,0.04,Cash,599.35,0
215,2022-01-09 22:00:00,58,Male,India,Books,9,134.43,0.42,UPI,701.72,0
216,2022-01-09 23:00:00,33,Male,Germany,Furniture,6,414.55,0.03,Debit Card,2412.68,0
217,2022-01-10 00:00:00,29,Male,UK,Electronics,5,452.57,0.23,Credit Card,1742.39,0
218,2022-01-10 01:00:00,56,Male,UK,Furniture,7,491.39,0.03,Debit Card,3336.54,0
219,2022-01-10 02:00:00,65,Female,UK,Electronics,3,408.97,0.27,UPI,895.64,0
220,2022-01-10 03:00:00,47,Male,Germany,Books,3,61.79,0.0,Net Banking,185.37,0
221,2022-01-10 04:00:00,19,Female,USA,Food,3,137.81,0.08,Net Banking,380.36,1
222,2022-01-10 05:00:00,49,Male,Canada,Clothing,1,133.0,0.42,Credit Card,77.14,0
223,2022-01-10 06:00:00,62,Female,USA,Food,1,46.58,0.13,Net Banking,40.52,0
224,2022-01-10 07:00:00,42,Female,India,Furniture,8,261.95,0.4,Debit Card,1257.36,0
225,2022-01-10 08:00:00,42,Female,USA,Furniture,9,348.61,0.26,Debit Card,2321.74,0
226,2022-01-10 09:00:00,21,Female,Germany,Food,9,288.4,0.33,Cash,1739.05,0
227,2022-01-10 10:00:00,36,Female,Canada,Food,8,371.75,0.31,Credit Card,2052.06,0
228,2022-01-10 11:00:00,65,Female,UK,Food,6,239.45,0.19,Debit Card,1163.73,1
229,2022-01-10 12:00:00,21,Male,UK,Furniture,9,8.27,0.36,Debit Card,47.64,0
230,2022-01-10 13:00:00,60,Male,Germany,Electronics,5,34.6,0.17,Net Banking,143.59,1
231,2022-01-10 14:00:00,30,Male,Canada,Furniture,3,211.57,0.42,Debit Card,368.13,0
232,2022-01-10 15:00:00,56,Male,USA,Books,4,44.52,0.35,Net Banking,115.75,0
233,2022-01-10 16:00:00,53,Male,Canada,Electronics,8,417.51,0.1,Cash,3006.07,0
234,2022-01-10 17:00:00,40,Female,USA,Electronics,8,326.26,0.16,Net Banking,2192.47,0
235,2022-01-10 18:00:00,23,Male,USA,Electronics,7,367.92,0.37,Debit Card,1622.53,0
236,2022-01-10 19:00:00,41,Male,Canada,Furniture,2,20.39,0.39,Cash,24.88,0
237,2022-01-10 20:00:00,61,Male,India,Electronics,8,37.95,0.45,Net Banking,166.98,0
238,2022-01-10 21:00:00,50,Male,Canada,Food,5,65.04,0.02,Debit Card,318.7,0
239,2022-01-10 22:00:00,29,Female,Germany,Furniture,9,477.14,0.35,Debit Card,2791.27,0
240,2022-01-10 23:00:00,58,Male,India,Clothing,6,301.25,0.03,Cash,1753.28,0
241,2022-01-11 00:00:00,38,Female,USA,Electronics,8,303.54,0.01,Credit Card,2404.04,0
242,2022-01-11 01:00:00,28,Male,USA,Books,6,99.68,0.44,Debit Card,334.92,1
243,2022-01-11 02:00:00,61,Female,UK,Clothing,5,64.95,0.34,UPI,214.33,0
244,2022-01-11 03:00:00,55,Female,Germany,Clothing,8,108.25,0.34,Debit Card,571.56,1
245,2022-01-11 04:00:00,46,Female,UK,Food,2,308.12,0.21,Cash,486.83,0
246,2022-01-11 05:00:00,65,Male,India,Furniture,9,385.38,0.25,Credit Card,2601.32,0
247,2022-01-11 06:00:00,58,Male,USA,Books,1,54.36,0.17,Net Banking,45.12,0
248,2022-01-11 07:00:00,20,Male,Canada,Furniture,1,283.55,0.08,UPI,260.87,0
249,2022-01-11 08:00:00,45,Female,USA,Food,2,337.52,0.27,Net Banking,492.78,0
250,2022-01-11 09:00:00,37,Female,UK,Food,9,86.51,0.06,Cash,731.87,0
251,2022-01-11 10:00:00,43,Female,India,Furniture,2,110.81,0.07,Net Banking,206.11,0
252,2022-01-11 11:00:00,41,Female,USA,Electronics,8,177.01,0.13,Credit Card,1231.99,0
253,2022-01-11 12:00:00,69,Female,India,Clothing,3,136.65,0.41,Debit Card,241.87,0
254,2022-01-11 13:00:00,64,Female,USA,Clothing,9,226.04,0.01,Credit Card,2014.02,0
255,2022-01-11 14:00:00,38,Female,Canada,Books,1,372.56,0.32,UPI,253.34,0
256,2022-01-11 15:00:00,47,Male,Canada,Furniture,2,70.46,0.43,UPI,80.32,0
257,2022-01-11 16:00:00,21,Female,USA,Furniture,3,133.38,0.37,Cash,252.09,0
258,2022-01-11 17:00:00,53,Female,USA,Food,7,181.48,0.37,Cash,800.33,0
259,2022-01-11 18:00:00,57,Male,Germany,Food,3,403.5,0.45,Cash,665.78,0
260,2022-01-11 19:00:00,27,Female,India,Electronics,8,127.67,0.06,Net Banking,960.08,0
261,2022-01-11 20:00:00,27,Male,UK,Furniture,6,170.15,0.36,Debit Card,653.38,0
262,2022-01-11 21:00:00,59,Female,India,Furniture,7,51.21,0.26,Credit Card,265.27,0
263,2022-01-11 22:00:00,41,Male,USA,Books,1,209.1,0.45,Debit Card,115.01,0
264,2022-01-11 23:00:00,21,Male,Canada,Furniture,5,254.85,0.31,Cash,879.23,0
265,2022-01-12 00:00:00,64,Male,UK,Electronics,8,31.12,0.17,Credit Card,206.64,0
266,2022-01-12 01:00:00,44,Female,Canada,Food,3,228.97,0.46,Credit Card,370.93,0
267,2022-01-12 02:00:00,68,Male,Canada,Food,1,198.8,0.32,Cash,135.18,0
268,2022-01-12 03:00:00,62,Female,Germany,Clothing,2,429.39,0.38,Debit Card,532.44,0
269,2022-01-12 04:00:00,21,Female,UK,Electronics,2,291.68,0.22,Debit Card,455.02,0
270,2022-01-12 05:00:00,49,Female,Canada,Books,5,53.4,0.08,Debit Card,245.64,1
271,2022-01-12 06:00:00,27,Male,Canada,Clothing,5,51.82,0.1,UPI,233.19,0
272,2022-01-12 07:00:00,28,Female,USA,Furniture,3,119.14,0.11,Debit Card,318.1,0
273,2022-01-12 08:00:00,45,Female,Canada,Clothing,3,499.2,0.48,UPI,778.75,0
274,2022-01-12 09:00:00,63,Female,UK,Food,7,5.11,0.28,Debit Card,25.75,0
275,2022-01-12 10:00:00,25,Female,UK,Clothing,6,142.29,0.02,UPI,836.67,0
276,2022-01-12 11:00:00,57,Female,India,Food,3,488.72,0.34,Net Banking,967.67,1
277,2022-01-12 12:00:00,39,Male,UK,Food,7,321.41,0.17,Net Banking,1867.39,0
278,2022-01-12 13:00:00,51,Female,USA,Clothing,1,482.25,0.39,Debit Card,294.17,0
279,2022-01-12 14:00:00,62,Female,India,Electronics,8,6.73,0.11,Credit Card,47.92,0
280,2022-01-12 15:00:00,52,Male,USA,Electronics,4,190.71,0.41,Debit Card,450.08,0
281,2022-01-12 16:00:00,52,Male,UK,Books,5,236.37,0.39,Net Banking,720.93,0
282,2022-01-12 17:00:00,42,Male,Germany,Food,3,120.35,0.22,Net Banking,281.62,0
283,2022-01-12 18:00:00,51,Male,Canada,Electronics,1,264.4,0.02,UPI,259.11,0
